step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
167,0.28516361117362976,0.8541666865348816,,,,,,,,2025-09-11T18:12:52.3780000Z
168,0.3042420446872711,0.8645833134651184,,,,,,,,2025-09-11T18:12:53.6120000Z
169,0.2999163866043091,0.859375,,,,,,,,2025-09-11T18:12:54.5130000Z
170,0.2901168465614319,0.8697916865348816,,0.29487233360608417,0.8645833333333334,,,,,2025-09-11T18:12:59.2940000Z
171,0.31273558735847473,0.8489583134651184,,,,,,,,2025-09-11T18:13:01.4940000Z
172,0.2748136520385742,0.8802083134651184,,,,,,,,2025-09-11T18:13:02.4510000Z
173,0.2660179138183594,0.8697916865348816,,,,,,,,2025-09-11T18:13:03.6910000Z
174,0.31324031949043274,0.8333333134651184,,,,,,,,2025-09-11T18:13:04.9270000Z
175,0.2987483739852905,0.859375,,,,,,,,2025-09-11T18:13:06.1260000Z
176,0.26976463198661804,0.8802083134651184,,,,,,,,2025-09-11T18:13:07.3670000Z
177,0.31254011392593384,0.8541666865348816,,,,,,,,2025-09-11T18:13:08.6140000Z
178,0.30278822779655457,0.875,,,,,,,,2025-09-11T18:13:09.8520000Z
179,0.30474555492401123,0.8541666865348816,,,,,,,,2025-09-11T18:13:10.8040000Z
180,0.27720776200294495,0.8854166865348816,,0.3029028574625651,0.84375,,,,,2025-09-11T18:13:15.5210000Z
181,0.3032960593700409,0.8489583134651184,,,,,,,,2025-09-11T18:13:17.4380000Z
182,0.2534537613391876,0.9010416865348816,,,,,,,,2025-09-11T18:13:18.6840000Z
183,0.29193028807640076,0.8802083134651184,,,,,,,,2025-09-11T18:13:19.9220000Z
184,0.3001343309879303,0.8333333134651184,,,,,,,,2025-09-11T18:13:21.1700000Z
185,0.2849983870983124,0.890625,,,,,,,,2025-09-11T18:13:22.4240000Z
186,0.3068172335624695,0.8229166865348816,,,,,,,,2025-09-11T18:13:23.6590000Z
187,0.30308058857917786,0.8541666865348816,,,,,,,,2025-09-11T18:13:24.9100000Z
188,0.25295761227607727,0.8958333134651184,,,,,,,,2025-09-11T18:13:26.1580000Z
189,0.28728652000427246,0.8854166865348816,,,,,,,,2025-09-11T18:13:27.0920000Z
190,0.27768951654434204,0.8541666865348816,,0.2970908085505168,0.8333333333333334,,,,,2025-09-11T18:13:33.1900000Z
191,0.3221081793308258,0.8385416865348816,,,,,,,,2025-09-11T18:13:35.3800000Z
192,0.2555401623249054,0.875,,,,,,,,2025-09-11T18:13:36.3170000Z
193,0.329593688249588,0.84375,,,,,,,,2025-09-11T18:13:37.5630000Z
194,0.2751944959163666,0.8697916865348816,,,,,,,,2025-09-11T18:13:38.8010000Z
195,0.30012786388397217,0.8697916865348816,,,,,,,,2025-09-11T18:13:43.0460000Z
196,0.33518365025520325,0.8020833134651184,,,,,,,,2025-09-11T18:13:44.2360000Z
197,0.2865380644798279,0.8645833134651184,,,,,,,,2025-09-11T18:13:45.4680000Z
198,0.32981076836586,0.8385416865348816,,,,,,,,2025-09-11T18:13:46.7060000Z
199,0.3179612457752228,0.828125,,,,,,,,2025-09-11T18:13:47.9510000Z
200,0.34054169058799744,0.8489583134651184,,0.2993715504805247,0.859375,,,,,2025-09-11T18:13:52.4260000Z
201,0.2873859107494354,0.8489583134651184,,,,,,,,2025-09-11T18:13:54.6090000Z
202,0.26150408387184143,0.8802083134651184,,,,,,,,2025-09-11T18:13:55.8500000Z
203,0.2959156334400177,0.859375,,,,,,,,2025-09-11T18:13:56.7880000Z
204,0.2921818196773529,0.875,,,,,,,,2025-09-11T18:13:58.0420000Z
205,0.26896747946739197,0.8697916865348816,,,,,,,,2025-09-11T18:13:59.2690000Z
206,0.24689070880413055,0.90625,,,,,,,,2025-09-11T18:14:00.5050000Z
207,0.3196019232273102,0.8697916865348816,,,,,,,,2025-09-11T18:14:01.7410000Z
208,0.2814921438694,0.875,,,,,,,,2025-09-11T18:14:02.9780000Z
209,0.2999250888824463,0.8541666865348816,,,,,,,,2025-09-11T18:14:04.2310000Z
