timestamp,mode,target,dataset,alpha,experiments,n_true_labels,method,gamma,mse,avg_ci_length,coverage_rate,execution_time,settings_key
20250913_000827,mse-compare,UNITY,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,PGAE,0.5,0.0002927213099471,0.0702239451695215,0.98,29.129076957702637,mode=mse-compare|target=UNITY|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000827,mse-compare,UNITY,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,Adaptive_PGAE,0.5,0.0003082028864053,0.0691851079354535,0.96,9.288152933120728,mode=mse-compare|target=UNITY|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000827,mse-compare,UNITY,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,Active_Inference,0.5,0.0003885374017043,0.0726661992472379,0.93,2.7328503131866455,mode=mse-compare|target=UNITY|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000827,mse-compare,UNITY,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,Naive,0.5,0.0006364574594255,0.0980628080309338,0.95,2.6007332801818848,mode=mse-compare|target=UNITY|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000858,mse-compare,GPT1,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,PGAE,0.5,0.0010051302154359,0.1245663241332728,0.95,15.863041162490845,mode=mse-compare|target=GPT1|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000858,mse-compare,GPT1,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,Adaptive_PGAE,0.5,0.0010071295097831,0.1279026883699811,0.98,7.440178155899048,mode=mse-compare|target=GPT1|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000858,mse-compare,GPT1,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,Active_Inference,0.5,0.0015770616114553,0.1357466442328018,0.89,2.5523440837860107,mode=mse-compare|target=GPT1|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000858,mse-compare,GPT1,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,Naive,0.5,0.002432640104141,0.1931097835480176,0.97,2.480922222137451,mode=mse-compare|target=GPT1|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000928,mse-compare,MOREGUNIMPACT,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,PGAE,0.5,0.0010282300148529,0.1503964322134342,0.98,12.491590976715088,mode=mse-compare|target=MOREGUNIMPACT|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000928,mse-compare,MOREGUNIMPACT,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,Adaptive_PGAE,0.5,0.0014561519063044,0.150298283946493,0.96,9.21749186515808,mode=mse-compare|target=MOREGUNIMPACT|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000928,mse-compare,MOREGUNIMPACT,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,Active_Inference,0.5,0.0012589620978833,0.1576732394108952,0.97,3.4300990104675293,mode=mse-compare|target=MOREGUNIMPACT|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000928,mse-compare,MOREGUNIMPACT,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,Naive,0.5,0.0020420693966048,0.2136913375579036,0.99,2.7732958793640137,mode=mse-compare|target=MOREGUNIMPACT|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000959,mse-compare,GAMBLERESTR,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,PGAE,0.5,0.0007315452462147175,0.11269687419754212,0.97,12.272097110748291,mode=mse-compare|target=GAMBLERESTR|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000959,mse-compare,GAMBLERESTR,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,Adaptive_PGAE,0.5,0.0009241734285722857,0.10983565108659636,0.95,10.124147891998291,mode=mse-compare|target=GAMBLERESTR|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000959,mse-compare,GAMBLERESTR,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,Active_Inference,0.5,0.0009630963491550883,0.11004447943651215,0.94,3.6314990520477295,mode=mse-compare|target=GAMBLERESTR|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
20250913_000959,mse-compare,GAMBLERESTR,archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv,0.95,100,500,Naive,0.5,0.001465759320302445,0.15413827174784123,0.97,3.339560031890869,mode=mse-compare|target=GAMBLERESTR|dataset=archive/predictions/NPORS_2024_cot_optimized_lr06_step560_20250911_232934.csv|alpha=0.95|experiments=100|labels=500|gamma=0.5
